Time,Type,Count,Average,Median,Percentile90,Percentile99,Maximum 
22:53:06,109,4,248.5,237.0,289.0,289.0,289.0
22:53:06,111,3,248.33333333333334,253.0,258.0,258.0,258.0
22:53:07,101,64,240.390625,242.5,258.5,279.0,279.0
22:53:07,103,66,216.8181818181818,210.0,258.70000000000005,345.0,345.0
22:53:07,109,13,276.2307692307692,255.0,343.0,353.0,353.0
22:53:07,111,14,218.92857142857142,216.5,260.5,270.0,270.0
22:53:08,101,54,243.8148148148148,243.0,270.0,329.0,329.0
22:53:08,103,54,221.77777777777777,210.0,262.5,527.0,527.0
22:53:08,109,10,260.0,256.0,317.40000000000003,320.0,320.0
22:53:08,111,10,229.5,214.0,295.5,298.0,298.0
22:53:09,101,51,246.2156862745098,243.0,288.8,375.0,375.0
22:53:09,103,52,224.05769230769232,213.0,259.00000000000006,523.0,523.0
22:53:09,109,1,245.0,245.0,245.0,245.0,245.0
22:53:09,111,1,208.0,208.0,208.0,208.0,208.0
22:53:10,101,49,245.12244897959184,245.0,276.0,320.0,320.0
22:53:10,103,60,220.3,210.5,247.8,460.0,460.0
22:53:10,109,4,262.25,265.0,281.0,281.0,281.0
22:53:10,111,3,221.0,221.0,227.0,227.0,227.0
22:53:11,101,39,247.7948717948718,243.0,289.0,351.0,351.0
22:53:11,103,36,208.16666666666666,209.5,225.60000000000002,276.0,276.0
22:53:11,109,2,241.5,241.5,249.0,249.0,249.0
22:53:11,111,1,218.0,218.0,218.0,218.0,218.0
22:53:12,129,1,260.0,260.0,260.0,260.0,260.0
22:53:12,101,47,245.14893617021278,242.0,294.0,354.0,354.0
22:53:12,103,49,214.14285714285714,210.0,254.0,319.0,319.0
22:53:12,109,7,261.42857142857144,258.0,301.0,301.0,301.0
22:53:12,111,8,277.5,248.0,507.0,507.0,507.0
22:53:13,129,1,246.0,246.0,246.0,246.0,246.0
22:53:13,101,55,248.87272727272727,243.0,284.8,375.0,375.0
22:53:13,103,53,210.26415094339623,210.0,235.8,288.0,288.0
22:53:13,109,4,270.75,259.5,327.0,327.0,327.0
22:53:13,111,3,258.0,246.0,302.0,302.0,302.0
22:53:14,101,53,242.77358490566039,242.0,270.8,287.0,287.0
22:53:14,103,53,209.49056603773585,208.0,238.6,274.0,274.0
22:53:14,109,1,259.0,259.0,259.0,259.0,259.0
22:53:14,111,1,200.0,200.0,200.0,200.0,200.0
22:53:15,101,49,253.75510204081633,248.0,294.0,350.0,350.0
22:53:15,103,49,220.81632653061226,213.0,257.0,335.0,335.0
22:53:15,109,13,265.61538461538464,254.0,309.2,320.0,320.0
22:53:15,111,12,236.25,229.0,279.5,281.0,281.0
22:53:16,101,34,241.85294117647058,243.0,260.5,263.0,263.0
22:53:16,103,29,212.48275862068965,214.0,248.0,270.0,270.0
22:53:16,109,21,258.85714285714283,253.0,304.8,318.0,318.0
22:53:16,111,21,222.8095238095238,211.0,257.8,321.0,321.0
22:53:17,129,1,258.0,258.0,258.0,258.0,258.0
22:53:17,101,53,247.37735849056602,244.0,267.6,327.0,327.0
22:53:17,103,55,222.25454545454545,213.0,266.0,330.0,330.0
22:53:17,109,1,252.0,252.0,252.0,252.0,252.0
22:53:17,111,1,224.0,224.0,224.0,224.0,224.0
22:53:18,101,44,241.8181818181818,240.0,263.5,304.0,304.0
22:53:18,103,35,212.6,210.0,239.6,286.0,286.0
22:53:19,101,45,242.42222222222222,246.0,263.4,287.0,287.0
22:53:19,103,40,206.425,208.0,235.2,259.0,259.0
22:53:19,111,1,216.0,216.0,216.0,216.0,216.0
22:53:20,101,61,251.60655737704917,248.0,281.20000000000005,399.0,399.0
22:53:20,103,57,220.31578947368422,213.0,252.2,428.0,428.0
22:53:20,109,1,247.0,247.0,247.0,247.0,247.0
22:53:20,111,1,221.0,221.0,221.0,221.0,221.0
